year_month,id,name_odp,postcode_odp,ods,name_ods,postcode_ods,accept_adults,accept_adults_free,accept_children,referral_only,not_updated,not_found
202310,1004280000,JDSP DENTAL LIMITED,NG12 5AA,V001919,DENTAL SURGERY,NG12 5AA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
202310,1004440000,ETWALL DENTAL PRACTICE LTD (IMOS),DE65 6LP,V008490,THE DENTAL PRACTICE,DE65 6LP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1004470000,STEPHEN SHAFFERY -THE DOVE DENTAL,DE1 2GJ,V008485,THE DOVE DENTAL PRACTICE,DE1 2GJ,NA,NA,NA,NA,TRUE,FALSE
202310,1032880000,DAMIRA DENTAL STUDIOS LTD,OX26 6JU,V054047,DAMIRA BICESTER DENTAL PRACTICE,OX26 6JU,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
202310,1033160000,YVONNE ROONEY,SE1 8UG,V150978,WELLINGTON HOUSE (DENTAL SURGERY),SE1 8UG,NA,NA,NA,NA,TRUE,FALSE
202310,1033170000,SPECIAL CARE MCN DEPUTY CHAIR NCL,SE1 8UG,V150978,WELLINGTON HOUSE (DENTAL SURGERY),SE1 8UG,NA,NA,NA,NA,TRUE,FALSE
202310,1033180000,SPECIAL CARE MCN DEPUTY CHAIR NEL,SE1 8UG,V150978,WELLINGTON HOUSE (DENTAL SURGERY),SE1 8UG,NA,NA,NA,NA,TRUE,FALSE
202310,1033190000,SPECIAL CARE MCN DEPUTY CHAIR NWL,SE1 8UG,V150978,WELLINGTON HOUSE (DENTAL SURGERY),SE1 8UG,NA,NA,NA,NA,TRUE,FALSE
202310,1033200000,SPECIAL CARE MCN DEPUTY CHAIR SEL,SE1 8UG,V150978,WELLINGTON HOUSE (DENTAL SURGERY),SE1 8UG,NA,NA,NA,NA,TRUE,FALSE
202310,1033210000,SPECIAL CARE MCN DEPUTY CHAIR SWL,SE1 8UG,V150978,WELLINGTON HOUSE (DENTAL SURGERY),SE1 8UG,NA,NA,NA,NA,TRUE,FALSE
202310,2574860002,MR RM QURESHI,GU2 8AE,V004722,DENTAL SURGERY,GU2 8AE,NA,NA,NA,NA,TRUE,FALSE
202310,6641970007,MR R SIMONS,RH19 1PN,V008577,ST FAITHS DENTAL SURGERY,RH19 1PN,NA,NA,NA,TRUE,FALSE,FALSE
202310,7891270001,MR BF VIEIRA DA COSTA,BN41 1DE,V017830,SUSSEX DENTAL GROUP WEST HOVE,BN41 1DE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1411270002,MR S A BUTT & MR S BUTT,RH16 4HT,V001547,EMERICK HOUSE DENTAL SURGERY,RH16 4HT,NA,NA,NA,TRUE,FALSE,FALSE
202310,1553490003,E & G ORTHO LIMITED,KT17 4PF,V012963,1 CHURCH STREET (DENTALPRACTICE),KT17 4PF,NA,NA,NA,TRUE,FALSE,FALSE
202310,2744100003,MR HM PATEL,KT18 7JR,V012773,EPSOM DENTAL SURGERY,KT18 7JR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,3314650003,MISS SK TOPPING,KT10 0SR,V011400,HINCHLEY WOOD PRACTICE,KT10 0SR,NA,NA,NA,TRUE,FALSE,FALSE
202310,6772560003,MR GT WYNNE-HUGHES,TW18 4XP,V010233,CYGNET ORTHODONTICS,TW18 4XP,NA,NA,NA,TRUE,FALSE,FALSE
202310,6836040003,MR A MYKONIATIS,RH6 7DQ,V002036,MR A MYKONIATIS AND MR S KOLONIDIS,RH6 7DQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1024130000,EMBRACE ORTHODONTICS LIMITED,L24 9GB,V279915,BRIGHT ORTHODONTICS - LIVERPOOL,L24 9GB,NA,NA,NA,TRUE,FALSE,FALSE
202310,1026870000,SONITA KOSHAL,RH16 1RR,V308260,OAK BANK (DENTAL SURGERY),RH16 1RR,NA,NA,NA,NA,NA,TRUE
202310,1004210000,DR D HAMMOND,FY1 3ER,V299414,MILBOURNE STREET (DENTAL SURGERY),FY1 3ER,NA,NA,NA,TRUE,FALSE,FALSE
202310,1024680000,MISS TJ WHITMORE,DY11 6LD,V009893,SUTTON PARK DENTAL CENTRE,DY11 6LD,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
202310,1019290000,KYRLE STREET DENTAL PRACTICE,HR1 2ES,V007069,KYRLE STREET DENTAL PRACTICE,HR1 2ES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1026690000,MR TG OYEDELE,LN12 1DP,V010696,MARISCO MEDICAL CENTRE,LN12 1DP,NA,NA,NA,NA,NA,TRUE
202310,1842170001,THE LIVERPOOL BRACE PLACE LIMITED,L1 5AG,V029028,THE LIVERPOOL BRACE PLACE LIMITED,L1 5AG,NA,NA,NA,NA,NA,TRUE
202310,6780150002,CEDAR HOUSE ORTHODONTIC PRACTICE LIMITED,CW9 5EH,V005657,MRS MJ BRINDLEY,CW9 5EH,NA,NA,NA,TRUE,FALSE,FALSE
202310,1874450001,"RUSSELL, CUMBERBIRCH AND HAIN",CH4 7HL,V005930,OVERLEIGH ORTHODONTICS,CH4 7HL,NA,NA,NA,TRUE,FALSE,FALSE
202310,1030280000,JDSP DENTAL LIMITED T/A NDUCS,NG1 1HW,V003687,DENTICARE,NG1 1HW,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
202310,1018270000,MR HS BASSI,DA16 3RA,V008701,DENTAL SURGERY,DA16 3RA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
202310,1026170000,NSS PROPERTIES LTD,BD18 3LA,V008344,SALTAIRE ORTHODONTICS,BD18 3LA,NA,NA,NA,TRUE,FALSE,FALSE
202310,1029040000,INDENTAL PRACTICE LIMITED,NE10 8XQ,V001683,INDENTAL PRACTICE LIMITED,NE10 8XQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1029170000,WHITECROSS DENTAL CARE LIMITED,NE6 1SD,V001621,MYDENTIST HEATON SMILE,NE6 1SD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1029390000,PERFECT SMILE ( ACORN ) PARTNERSHIP,NE3 4AA,V018126,HIGH STREET (DENTAL SURGERY),NE3 4AA,NA,NA,NA,NA,TRUE,FALSE
202310,1029470000,THE GRANGE DENTAL CENTRE,NE3 2DQ,V001724,DENTAL SURGERY,NE3 2DQ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
202310,1030320000,MR MA SIDDIQUI,TS15 9JT,V010741,LEVEN VALE DENTAL PRACTICE,TS15 9JT,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
202310,5673290002,MR WH LEE,NW6 5PS,V001562,MALVERN ROAD (DENTAL SURGERY),NW6 5PS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202310,1017880000,M.K. VASANT & ASSOCIATES LTD,SW16 4DN,V008538,LONDON ROAD (DENTAL SURGERY),SW16 4DN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
202310,1023400000,CASTLE DENE DENTAL SURGERY,SR8 1BW,V000222,CASTLE DENE DENTAL SURGERY,SR8 1BW,NA,NA,NA,NA,NA,TRUE
