YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,BAND_2A_DELIVERED,BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202305,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,629762.98,1424.2,0,362.6,482,140,29,5,23,46,5,1221,4793,629762.98
202305,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,11500,321593.87,,,,,,,,,,,13,1719,321593.87
202305,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,153610.54,320.4,0,0,106,29,7,0,6,17,0,443,888,153610.54
202305,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,,,,,,,,,,,29,740,480848.93
202305,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,40912.13,105.4,0,0,30,16,5,0,0,2,0,306,85,40912.13
202305,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,20478.62,53.8,0,0,37,4,0,0,0,4,0,409,81,20478.62
202305,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,457227.22,481.8,0,0,121,72,11,0,5,24,1,621,2116,457227.22
202305,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,115877.84,229.2,0,0,138,14,6,0,1,6,0,394,1178,115877.84
202305,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,299778.82,947.4,0,0,405,84,24,0,10,42,0,1513,3008,299778.82
202305,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,31550,1025897.33,2089,1,0,607,105,124,0,35,105,2,2199,6810,1025897.33
202305,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,339490.44,697.4,0,0,169,42,14,0,27,7,0,587,2359,339490.44
202305,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,54761.66,98.8,0,0,73,3,0,0,1,4,0,498,42,54761.66
202305,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,461354.38,1137.6,0,0,445,93,32,1,17,33,3,1486,2931,461354.38
202305,QSL,Somerset ICB,1000710000,Yarde House Partnership,TA1 1DB,E01029289,2600,74085.41,203.4,0,0,91,23,1,0,2,12,0,451,422,74085.41
202305,QT6,Cornwall and the Isles Of Scilly ICB,1000730000,Spadental South West Limited,PL12 6AF,E01018793,19116,576149.42,234.2,0,0,159,16,4,0,0,6,0,1618,1120,576149.42
202305,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000790000,Rodericks Dental Limited,MK40 1NN,E01017469,25000,734264.41,1871.8,1,0,317,101,91,10,24,350,2,1629,6581,734264.41
202305,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000800000,Monika Molnar,BS25 1JF,E01014742,1200,31830.7,79.2,0,0,30,6,0,0,2,6,0,428,57,31830.7
202305,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000810000,Rodericks Dental Limited,LU1 2AL,E01015794,25000,717956.86,1074.8,2,0,90,95,38,1,28,141,0,803,3261,717956.86
202305,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000820000,Rodericks Dental Limited,LU3 2NJ,E01015785,14000,409290.9,1465.2,0,0,318,233,31,2,17,61,2,1253,2275,409290.9
202305,QT6,Cornwall and the Isles Of Scilly ICB,1000830000,PCH Dental CIC,TR18 3PE,E01018997,10946,346400.22,610.2,0,0,180,35,15,0,18,26,0,291,1145,346400.22
202305,QHL,Birmingham and Solihull ICB,1000850000,Broadway Dental Suite,B18 7BA,E01009141,11239,406584,949.4,0,0,107,83,45,0,27,37,0,611,2347,406584
