YEAR_MONTH, COMMISSIONER_CODE, COMMISSIONER_NAME, CONTRACT_NUMBER, PROVIDER_NAME, LATEST_PPC_ADDRESS_POSTCODE, LSOA11_CODE, UDA_PERF_TARGET, UDA_FIN_VAL, UDA_DELIVERED, LATE_SUBMITTED_FP17, UDA_DELIVERED_FD, BAND_1_DELIVERED, BAND_2A_DELIVERED, BAND_2B_DELIVERED, BAND_2C_DELIVERED, BAND_3_DELIVERED, BAND_URGENT_DELIVERED, BAND_OTHER_DELIVERED, CHILD_12M_COUNT, ADULT_24M_COUNT, GENERAL_DENTAL_FIN_VALUE
202307,"QYG","Cheshire and Merseyside ICB",1000080000,"Raby Road Dental Centre","CH64 9UZ","E01018534",19145,629762.98,1456,3,289.2,461,130,25,6,31,57,1,1228,4815,629762.98
202307,"QMM","Norfolk and Waveney ICB",1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel","NR19 1DR","E01026426",11500,321593.87,,,,,,,,,,,2,1530,321593.87
202307,"QXU","Surrey Heartlands ICB",1000120000,"Ruta Lagunaite","RH2 9BZ","E01030623",5009,153610.54,436.8,0,0,131,38,12,1,9,14,0,458,907,153610.54
202307,"QJG","Suffolk and North East Essex ICB",1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia","CO15 3BW","E01021968",15000,480848.93,,,,,,,,,,,7,573,480848.93
202307,"QUY","Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead","BS20 6EH","E01032681",1359,40912.13,86,0,0,39,9,4,0,0,0,0,304,85,40912.13
202307,"QSL","Somerset ICB",1000320000,"Mr RK Hughes","BA5 1SU","E01029081",850,20478.62,51.2,0,0,38,4,0,0,0,1,0,410,65,20478.62
202307,"QNC","Staffordshire and Stoke-on-Trent ICB",1000340000,"Whitecross Dental Care Limited","WS15 2BZ","E01029404",16000,457227.22,695.6,0,0,157,104,9,1,11,33,3,578,2069,457227.22
202307,"QUE","Cambridgeshire and Peterborough ICB",1000360000,"Church Street Dental Practice","PE28 3EG","E01018198",4029,115877.84,394.8,0,0,159,21,6,0,11,9,0,385,1165,115877.84
202307,"QM7","Hertfordshire and West Essex ICB",1000390000,"Damira Dental Studios Ltd","CM23 3AL","E01023446",10255,299778.82,864,1,0,373,78,12,0,12,45,0,1622,3093,299778.82
202307,"QPM","Northamptonshire ICB",1000410000,"2:30 Ltd","NN17 1RZ","E01026949",31550,1025897.33,1831,0,0,444,78,114,0,37,110,4,2276,6778,1025897.33
202307,"QM7","Hertfordshire and West Essex ICB",1000520000,"Chigwell Dental Practice","IG7 5PZ","E01021765",9244,339490.44,855,0,0,228,67,36,0,19,15,0,606,2378,339490.44
202307,"QNX","Sussex ICB",1000610000,"MISS AR PATEL","BN21 4LL","E01020935",1800,54761.66,81.4,0,0,67,4,0,0,0,2,0,502,43,54761.66
202307,"QT1","Nottingham and Nottinghamshire ICB",1000620000,"McDaid & McDaid","NG9 5BA","E01028096",15050,461354.38,928.6,0,0,391,74,19,0,15,33,1,1491,2933,461354.38
202307,"QSL","Somerset ICB",1000710000,"Yarde House Partnership","TA1 1DB","E01029289",2600,74085.41,154.4,0,0,86,8,1,1,2,7,0,447,429,74085.41
202307,"QT6","Cornwall and the Isles Of Scilly ICB",1000730000,"Spadental South West Limited","PL12 6AF","E01018793",19116,576149.42,70.8,0,0,22,7,1,0,1,9,0,1707,620,576149.42
202307,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000790000,"Rodericks Dental Limited","MK40 1NN","E01017469",25000,734264.41,1745.4,0,0,343,103,83,4,23,312,0,1595,6534,734264.41
202307,"QUY","Bristol, North Somerset and South Gloucestershire ICB",1000800000,"Monika Molnar","BS25 1JF","E01014742",1200,31830.7,80.2,0,0,39,10,2,0,0,1,0,436,63,31830.7
202307,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000810000,"Rodericks Dental Limited","LU1 2AL","E01015794",25000,717956.86,454,0,0,57,43,21,1,9,40,0,748,3056,717956.86
202307,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000820000,"Rodericks Dental Limited","LU3 2NJ","E01015785",14000,409290.9,1246.2,0,0,190,214,38,1,12,51,1,1287,2337,409290.9
202307,"QT6","Cornwall and the Isles Of Scilly ICB",1000830000,"PCH Dental CIC","TR18 3PE","E01018997",10946,346400.22,135.6,0,0,50,6,2,0,4,8,0,293,1033,346400.22
202307,"QHL","Birmingham and Solihull ICB",1000850000,"Broadway Dental Suite","B18 7BA","E01009141",11239,406584,986.8,0,0,127,90,35,1,30,39,1,629,2377,406584
