YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,BAND_2A_DELIVERED ,BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202309,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,629762.98,1797.4,0,328,456,161,67,3,37,47,2,1257,4898,629762.98
202309,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,11500,321593.87,,,,,,,,,,,1,1287,321593.87
202309,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,153610.54,402.8,0,0,111,32,8,1,11,14,0,475,919,153610.54
202309,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,,,,,,,,,,,,289,480848.93
202309,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,40912.13,91.8,0,0,29,14,3,0,0,4,1,314,83,40912.13
202309,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,20478.62,44,0,0,36,1,1,0,0,0,0,407,70,20478.62
202309,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,457227.22,306.8,0,0,73,51,6,0,2,19,4,560,2004,457227.22
202309,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,115877.84,309.6,0,0,127,22,8,1,5,8,0,383,1144,115877.84
202309,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,299778.82,1137,0,0,474,96,21,0,17,55,0,1681,3142,299778.82
202309,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,31550,1025897.33,1611,1,0,557,97,90,0,16,110,1,2448,6746,1025897.33
202309,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,339490.44,720.6,0,0,161,64,26,0,18,18,0,609,2412,339490.44
202309,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,54761.66,68.4,0,0,54,4,0,0,0,2,0,497,39,54761.66
202309,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,461354.38,917,0,0,351,88,16,0,15,35,0,1479,2939,461354.38
202309,QSL,Somerset ICB,1000710000,Yarde House Partnership,TA1 1DB,E01029289,2600,74085.41,164.2,0,0,60,11,3,1,3,11,0,430,431,74085.41
202309,QT6,Cornwall and the Isles Of Scilly ICB,1000730000,Spadental South West Limited,PL12 6AF,E01018793,19116,576149.42,419,0,0,359,16,0,0,1,0,0,1835,474,576149.42
202309,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000790000,Rodericks Dental Limited,MK40 1NN,E01017469,25000,734264.41,1084.6,0,0,198,62,42,7,7,288,1,1528,6497,734264.41
202309,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000800000,Monika Molnar,BS25 1JF,E01014742,1200,31830.7,61.8,0,0,30,9,0,0,0,4,0,441,67,31830.7
202309,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000810000,Rodericks Dental Limited,LU1 2AL,E01015794,25000,717956.86,176,0,0,18,11,2,1,2,70,0,700,2819,717956.86
202309,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000820000,Rodericks Dental Limited,LU3 2NJ,E01015785,14000,409290.9,1054,0,0,163,137,32,1,21,50,1,1280,2379,409290.9
